,mashup_id,api_id,value
0,41,839,1
1,4554,845,1
2,847,845,1
3,160,2217,1
4,875,818,1
5,3689,1876,1
6,5725,1930,1
7,2762,2095,1
8,1504,1879,1
9,3388,1879,1
10,3054,1407,1
11,855,1407,1
12,4242,834,1
13,3052,834,1
14,3055,834,1
15,3037,834,1
16,2791,834,1
17,1884,834,1
18,3413,834,1
19,1779,834,1
20,1797,1663,1
21,5015,1663,1
22,4759,1663,1
23,3096,1746,1
24,328,1746,1
25,946,1746,1
26,1266,1746,1
27,1344,1746,1
28,1387,1746,1
29,1473,1746,1
30,1745,1746,1
31,1935,1746,1
32,1976,1746,1
33,1987,1746,1
34,6064,1746,1
35,2626,1746,1
36,3666,1746,1
37,3767,1746,1
38,4459,1746,1
39,5223,1746,1
40,1189,1746,1
41,3500,1746,1
42,4873,1746,1
43,693,1746,1
44,5463,1746,1
45,1220,1746,1
46,1977,1746,1
47,2346,1746,1
48,3348,1746,1
49,5728,1746,1
50,362,1746,1
51,876,1746,1
52,3481,2575,1
53,2536,2575,1
54,4358,2575,1
55,1668,2575,1
56,2108,2575,1
57,74,2575,1
58,4913,2575,1
59,5065,2575,1
60,4446,2575,1
61,4511,2575,1
62,1186,701,1
63,2317,701,1
64,2127,701,1
65,1767,701,1
66,4904,701,1
67,2313,701,1
68,2044,701,1
69,2314,701,1
70,2984,701,1
71,4630,701,1
72,4492,701,1
73,3692,701,1
74,4211,701,1
75,5648,701,1
76,3724,701,1
77,2249,701,1
78,6205,701,1
79,1514,282,1
80,1514,282,1
81,4875,2579,1
82,5956,835,1
83,3178,918,1
84,4222,849,1
85,5001,128,1
86,6100,40,1
87,5980,40,1
88,6021,841,1
89,825,1712,1
90,6260,1712,1
91,5875,1712,1
92,4090,1712,1
93,4581,1712,1
94,1441,1712,1
95,4036,1712,1
96,5644,1886,1
97,512,1356,1
98,4479,400,1
99,4468,400,1
100,1750,400,1
101,6101,400,1
102,1342,400,1
103,2476,122,1
104,4516,122,1
